quarter,fx_vol
2010Q1,0.009627753402278233
2010Q2,0.013460106990550731
2010Q3,0.006731848542833902
2010Q4,0.0074321001738050126
2011Q1,0.006261439823301499
2011Q2,0.009430120499624689
2011Q3,0.012646531072576739
2011Q4,0.007485427660434163
2012Q1,0.0063234575960997245
2012Q2,0.005739667614331737
2012Q3,0.004944300027372949
2012Q4,0.007020727463068301
2013Q1,0.004943007344415086
2013Q2,0.005149668585994792
2013Q3,0.00588106695790543
2013Q4,0.012516690074955275
2014Q1,0.10451824721544731
2014Q2,0.007270483809376611
2014Q3,0.012562728687491937
2014Q4,0.011925671201502229
2015Q1,0.012107992524644782
2015Q2,0.0023188381792732713
2015Q3,0.003357400364297583
2015Q4,0.31827999523051265
2016Q1,0.098446102803033
2016Q2,0.07076846688775698
2016Q3,0.04398938729964763
2016Q4,0.049218184174023884
2017Q1,0.03618774162165053
2017Q2,0.04252213580078803
2017Q3,0.052940874225755816
2017Q4,0.0613758893865701
2018Q1,0.049979189269585375
2018Q2,0.14258605893604617
2018Q3,0.19103616461349146
2018Q4,0.11047439379541224
2019Q1,0.08297099209889593
2019Q2,0.0874771644052146
2019Q3,0.20916160485776383
2019Q4,0.02108103870162287
2020Q1,0.009805547660066891
2020Q2,0.005141010581612698
2020Q3,0.00665438279404947
2020Q4,0.013298438080859171
2021Q1,0.008936631669503642
2021Q2,0.006802961676962536
2021Q3,0.0024545837118393286
2021Q4,0.0034028575942741616
2022Q1,0.006190165135174896
2022Q2,0.010574826402022178
2022Q3,0.011512852121327235
2022Q4,0.016046200104615813
2023Q1,0.013723062026981644
2023Q2,0.01804448530841439
2023Q3,0.19517863968205612
2023Q4,0.8056578800300569
2024Q1,0.00767619089366763
2024Q2,0.007362418626766792
2024Q3,0.008814807886920302
2024Q4,0.010150055930898655
2025Q1,0.008254913867332563
2025Q2,0.16523038925476594
2025Q3,0.10845709040730946
2025Q4,0.11223548865500317
2026Q1,0.05029113870474294
2026Q2,0.04310590735559197
2026Q3,0.024289398877485536
