quarter,net_income,net_rev,prof_margin_system
2004Q1,486.5132,3869.1378999999997,0.12574201607029825
2004Q2,691.52,4042.5730000000003,0.17105937233539134
2004Q3,621.8477,3300.4479,0.18841312417020734
2004Q4,713.7402999999999,4070.707,0.1753357094971463
2005Q1,274.627,4423.4232999999995,0.06208472067323967
2005Q2,1119.519,5710.98,0.19602922790834498
2005Q3,839.6800000000001,6628.41,0.1266789471381523
2005Q4,-1510.511,7601.956,-0.1987003081838411
2006Q1,2239.9383,9418.474900000001,0.23782388590322617
2006Q2,1533.501,6612.554099999999,0.2319075166432287
2006Q3,1127.604,6879.6951,0.16390319390753233
2006Q4,1287.691,5868.276,0.21943258974185947
2007Q1,1552.24,24038.8039,0.06457226434631384
2007Q2,1984.795,14869.484999999999,0.1334810855924062
2007Q3,3084.959,15743.617,0.19594982525298982
2007Q4,2525.1000000000004,15314.726999999999,0.1648805101129129
2008Q1,1934.7939000000001,16169.99,0.11965337640901448
2008Q2,2843.463,16633.107,0.17095200553931386
2008Q3,2508.151,16427.731,0.1526778713384094
2008Q4,1869.309,16871.248,0.11079850168760486
2009Q1,1365.603,19287.119,0.07080388729908288
2009Q2,3099.117,19301.278,0.16056537810605082
2009Q3,3542.171,17930.082000000002,0.1975546458739006
2009Q4,3112.161,17113.193,0.18185741258221072
2010Q1,3468.732,16969.858,0.20440548176655338
2010Q2,4448.165,17668.176,0.25176141555302595
2010Q3,3942.3199999999997,17312.486,0.2277154188023603
2010Q4,3196.2889999999998,16499.459,0.19372083654379213
2011Q1,3388.322,18019.887,0.18803236668465237
2011Q2,3793.3050000000003,18062.206,0.2100133837472566
2011Q3,3592.806,18675.465,0.192381073242353
2011Q4,2953.12,19171.862,0.15403407347705714
2012Q1,3796.419,21646.788,0.17538024578981418
2012Q2,3756.142,22001.974000000002,0.1707184091754676
2012Q3,3805.068,22958.959000000003,0.16573347249759887
2012Q4,4156.478,23080.923000000003,0.1800828329092385
2013Q1,4753.846,25024.078,0.18997087525062858
2013Q2,5082.911,24178.682,0.21022283183177642
2013Q3,4576.698,23822.662,0.19211530600568485
2013Q4,4890.357,23567.795,0.20750167760709054
2014Q1,3754.754,26574.536999999997,0.1412914174196149
2014Q2,3674.575,26958.969,0.1363025047434121
2014Q3,4501.456,29025.506999999998,0.15508621434244027
2014Q4,4768.109,28957.913,0.16465651374807294
2015Q1,4366.714,29676.932999999997,0.14714168745132794
2015Q2,4171.402,31047.779,0.13435428022081708
2015Q3,4131.819,32644.096,0.1265717084032592
2015Q4,3380.721,32418.705,0.10428303659877838
2016Q1,5079.352,35480.5,0.1431589746480461
2016Q2,4924.961,36863.957,0.13359827324017332
2016Q3,7759.013,45912.992,0.16899384383400673
2016Q4,6193.147,39223.009,0.15789576470280492
2017Q1,5950.68,42432.016,0.14024033173441489
2017Q2,8419.654,44615.656,0.18871523484939906
2017Q3,7554.686,45595.203,0.16569036878726034
2017Q4,7035.682,47844.25,0.14705386749713914
2018Q1,7182.031,54725.577999999994,0.13123718857752403
2018Q2,8944.297999999999,57573.166000000005,0.1553553264727529
2018Q3,8489.886,62618.816,0.13558043001004683
2018Q4,7028.404,80147.162,0.08769373518178973
2019Q1,7188.557000000001,82675.318,0.086949251286823
2019Q2,6673.4710000000005,81619.374,0.08176332006663027
2019Q3,6328.399,80853.02,0.07827040968908767
2019Q4,6533.853,77902.6,0.08387207872394502
2020Q1,7267.481,75028.648,0.09686274768005948
2020Q2,8652.813,77001.466,0.11237205535801098
2020Q3,10227.411,75755.27,0.13500593424061455
2020Q4,9299.648,83798.3,0.11097657112375786
2021Q1,7047.641,90596.322,0.07779169004233968
2021Q2,9256.093,104815.72,0.08830825185382499
2021Q3,10702.592,104815.826,0.10210854990543126
2021Q4,14667.048999999999,114085.803,0.12856156168704005
2022Q1,23496.667,185513.146,0.12665769249581915
2022Q2,38637.474,191159.331,0.2021218310290069
2022Q3,63395.925,242440.948,0.2614901712065571
2022Q4,77407.865,308718.083,0.2507396529797706
2023Q1,103958.799,383882.898,0.2708086229983603
2023Q2,63432.100000000006,377278.106,0.1681308800887587
2023Q3,75554.67199999999,478865.887,0.15777835517442068
2023Q4,105871.956,604277.438,0.17520421803337297
2024Q1,106697.43000000001,769019.665,0.13874473548085406
2024Q2,81005.896,892386.426,0.09077446007678291
2024Q3,75935.722,1035310.127,0.07334587001485014
2024Q4,58948.542,1180711.966,0.04992626796161393
2025Q1,76615.481,1324316.292,0.05785285695178928
2025Q2,94279.137,1377467.4309999999,0.06844382297413464
2025Q3,91299.866,1487733.846,0.061368413608034564
2025Q4,98597.226,1570796.891,0.06276892102659502
2026Q1,116170.639,1655459.867,0.07017424059365614
2026Q2,123083.68899999998,1671729.508,0.07362655765241179
2026Q3,94942.0,1780057.29,0.05333648559142723
