quarter,fx_vol
2010Q1,0.04787861482182619
2010Q2,0.0636690758105752
2010Q3,0.05954824036006591
2010Q4,0.060028076067375834
2011Q1,0.05014089438838027
2011Q2,0.05861767526811314
2011Q3,0.06157871449321958
2011Q4,0.06279016381046923
2012Q1,0.04586290279430736
2012Q2,0.04243347201313674
2012Q3,0.043540167180628746
2012Q4,0.029150833630150433
2013Q1,0.04350796645568158
2013Q2,0.036965935372797055
2013Q3,0.03567786193592106
2013Q4,0.02873155681649615
2014Q1,0.02836206326744805
2014Q2,0.019117772124388293
2014Q3,0.02472173324810289
2014Q4,0.04396330020694659
2015Q1,0.06926006601546694
2015Q2,0.060406205852487946
2015Q3,0.0563471108978594
2015Q4,0.05468978005325022
2016Q1,0.04509640807329234
2016Q2,0.045311845408346485
2016Q3,0.029347666208239982
2016Q4,0.039158673364671506
2017Q1,0.03885669581915941
2017Q2,0.03618455338884239
2017Q3,0.03690387129143482
2017Q4,0.0317151947552229
2018Q1,0.03914732955634142
2018Q2,0.03731390020065128
2018Q3,0.03283364006387658
2018Q4,0.03215151380199456
2019Q1,0.02968964797821968
2019Q2,0.02240878969563264
2019Q3,0.025810015759056178
2019Q4,0.01859568110236475
2020Q1,0.04913996120536366
2020Q2,0.03642998143843098
2020Q3,0.030346256137093977
2020Q4,0.029460204476073327
2021Q1,0.029646853686466076
2021Q2,0.029469113842891224
2021Q3,0.021091403034186707
2021Q4,0.029871304962506822
2022Q1,0.04148914465213282
2022Q2,0.045468150706938486
2022Q3,0.053577068944060724
2022Q4,0.056178168244603234
2023Q1,0.04262344665722716
2023Q2,0.03132231366615302
2023Q3,0.032135542628412395
2023Q4,0.037059608143506007
2024Q1,0.02388491089271291
2024Q2,0.026856938463818567
2024Q3,0.025629760662178567
2024Q4,0.03587504534011966
2025Q1,0.04306673299642322
2025Q2,0.049351557814170555
2025Q3,0.03556083991109257
2025Q4,0.02013662247351389
2026Q1,0.03716853539198781
2026Q2,0.02441367626710061
2026Q3,0.02144319697658774
