quarter,net_income,net_rev,prof_margin_system
2004Q1,1301790.0,12979228.0,0.10029795300614182
2004Q2,4375454.0,17576791.0,0.248933607960634
2004Q3,3457526.0,16310678.0,0.21197929356462067
2004Q4,4039362.0,16872907.0,0.23939929260559548
2005Q1,3292187.0,17793994.0,0.18501675340567159
2005Q2,3110935.0,17074827.0,0.18219423248036423
2005Q3,1812767.0,17709053.0,0.10236385875630956
2005Q4,2366149.0,16921861.0,0.13982794209218477
2006Q1,1825371.0,19434662.0,0.09392347548930874
2006Q2,2890175.0,21772644.0,0.13274340957395894
2006Q3,2813017.0,21876418.0,0.1285867274980758
2006Q4,3113351.0,22434310.0,0.13877632073373328
2007Q1,4030956.0,22058519.0,0.18273919477549694
2007Q2,3713000.0,23047533.0,0.1611018411384854
2007Q3,3978827.0,22593534.0,0.17610467667430868
2007Q4,4021294.0,22047651.0,0.18239104020650546
2008Q1,2884440.0,22957215.0,0.1256441602345929
2008Q2,4102174.0,23302055.0,0.1760434433787063
2008Q3,4189830.0,24100984.0,0.17384476915963265
2008Q4,4731450.0,26631598.0,0.1776630151897006
2009Q1,5246361.0,34828811.0,0.15063279076624236
2009Q2,5397791.0,31695906.0,0.17029931247272123
2009Q3,5564749.0,32007604.0,0.173857093458167
2009Q4,5811705.0,31386087.0,0.18516819251791408
2010Q1,6881296.0,33243544.0,0.20699646223038073
2010Q2,7121312.0,33077898.0,0.21528913354772422
2010Q3,7165452.0,34244200.0,0.2092457116825623
2010Q4,7829845.0,35229733.0,0.22225104572890178
2011Q1,11166007.0,42545657.0,0.2624476336092307
2011Q2,10313038.0,37985424.0,0.27149987847970314
2011Q3,10324530.0,40542151.0,0.25466162365188766
2011Q4,10703194.0,42543395.0,0.25158297780419264
2012Q1,12645088.0,40637131.0,0.3111707861462956
2012Q2,11484254.0,41451725.0,0.27705129279903307
2012Q3,13012395.0,43130142.0,0.3017007224321218
2012Q4,13215734.0,44838281.0,0.29474220922965355
2013Q1,15342318.0,48558339.0,0.3159564004032345
2013Q2,14409991.0,46163350.0,0.3121521943273181
2013Q3,14740225.0,48075314.0,0.30660694176641257
2013Q4,16151762.0,53106583.0,0.30413860368308765
2014Q1,17683645.0,61029446.0,0.2897559483007596
2014Q2,16936732.0,58699014.0,0.2885352043562435
2014Q3,17128906.0,62029589.0,0.27614089140587406
2014Q4,18260966.0,66583287.0,0.2742575024870731
2015Q1,19035243.0,70993458.0,0.2681267195070284
2015Q2,18181218.0,70221903.0,0.25891092697957785
2015Q3,14720182.0,71345844.0,0.20632150626741483
2015Q4,19557164.0,74281711.0,0.26328370384467853
2016Q1,20482017.0,77791551.0,0.2632935934135058
2016Q2,17585576.0,76950741.0,0.22853030096227403
2016Q3,15707861.0,80089719.0,0.1961283070552414
2016Q4,20643615.0,82249487.0,0.2509877660391973
2017Q1,18179978.0,83981270.0,0.21647657864664346
2017Q2,18973809.0,83190286.0,0.22807721805404058
2017Q3,20915857.0,87496152.0,0.239048878400961
2017Q4,22813829.0,88031438.0,0.2591554735252649
2018Q1,23960890.0,88854949.0,0.26966297622881985
2018Q2,22470177.0,88756019.0,0.2531679231805113
2018Q3,23575631.0,92581507.0,0.25464730229547894
2018Q4,25610102.0,95206768.0,0.2689945529922831
2019Q1,26687116.0,102957188.0,0.25920595267228935
2019Q2,25564810.0,99255547.0,0.2575655544974227
2019Q3,24661811.0,103403745.0,0.23850017231000675
2019Q4,27753938.0,105935207.0,0.2619897462417759
2020Q1,27897728.0,111549657.0,0.25009245882306924
2020Q2,27569684.0,114815372.0,0.24012188890525912
2020Q3,10700293.0,98518259.0,0.10861228272415979
2020Q4,15876385.0,104013839.0,0.15263723705073515
2021Q1,13907067.0,119073160.0,0.11679430528256746
2021Q2,22910616.0,117532948.0,0.19492930612103765
2021Q3,23053881.0,117586068.0,0.19605963012556896
2021Q4,25723092.0,117627835.0,0.21868201518798674
2022Q1,32756541.0,123515092.0,0.26520274137835725
2022Q2,35213152.0,122435098.0,0.287606679581373
2022Q3,38766235.0,123976192.0,0.31269096408445907
2022Q4,41681663.0,126529688.0,0.32942200094573854
2023Q1,39987857.0,137456368.0,0.2909130917819682
2023Q2,46270610.0,140078230.0,0.3303197791691114
2023Q3,45696875.0,143004769.0,0.31954790962251056
2023Q4,47462508.0,148712685.0,0.319155746532315
2024Q1,50982268.0,153877218.0,0.3313178432950354
2024Q2,48500793.0,158712670.0,0.30558866535356
2024Q3,48714020.0,158351097.0,0.3076329809069779
2024Q4,52356778.0,165702143.0,0.3159692267830236
2025Q1,49461592.0,164867512.0,0.30000811803358807
2025Q2,48224209.0,168073732.0,0.2869229380829123
2025Q3,45307559.0,170143733.0,0.26628990795682145
2025Q4,49006962.0,175362310.0,0.27946120235300276
2026Q1,55501421.0,179621124.0,0.3089916139262106
2026Q2,53421827.0,173584889.0,0.3077562068205142
2026Q3,52421903.0,171253830.0,0.30610645613006143
